,,Year Of Sale,2024,,Year Of Sale,2024,,Year Of Sale,2024,,Year Of Sale,2024,,Year Of Sale,2024,,,Column Labels,,,,,,Column Labels,,,
,,,,,,,,,,,,,,,,,,2024,,2025,,,,2024,,2025,
,,Row Labels,Sum of Total Sales,,Row Labels,Count of Customer Name,,Row Labels,Sum of Total Sales,,Row Labels,Sum of Total Sales,,Customer Name,Count of Customer Name,Sum of Total Sales,Row Labels,Count of Product,Sum of Total Sales,Count of Product,Sum of Total Sales,,Row Labels,Count of Product,Sum of Total Sales,Count of Product,Sum of Total Sales
,,Alishia Stevens,"$452,540.18",,Austin,61,,Austin,"$285,947.02",,Camera,"$547,475.19",,Camera,86,11.68%,1,20,"$104,637.57",12,"$46,047.83",,Chris Brown,9,"$36,922.22",,
,,Arnold Swanson,"$396,609.04",,Chicago,106,,Chicago,"$514,301.00",,Headphones,"$449,804.14",,Headphones,89,9.59%,2,20,"$108,617.83",15,"$72,927.99",,Chris Davis,7,"$44,873.99",1,"$10,759.84"
,,Brett Hart,"$348,288.57",,Dallas,72,,Dallas,"$348,288.57",,Keyboard,"$405,075.58",,Keyboard,95,8.64%,3,15,"$89,612.28",20,"$133,814.98",,Chris Garcia,8,"$24,115.43",1,"$5,490.95"
,,Dave Curry,"$341,946.22",,Houston,80,,Houston,"$364,775.00",,Laptop,"$546,350.90",,Laptop,104,11.65%,4,13,"$98,944.93",15,"$60,547.18",,Chris Johnson,10,"$33,768.67",,
,,Gary Mitchell,"$349,067.50",,Jacksonville,74,,Jacksonville,"$383,572.17",,Monitor,"$408,185.60",,Monitor,81,8.71%,5,21,"$118,001.33",17,"$66,355.59",,Chris Jones,8,"$37,607.53",1,"$8,158.25"
,,Hailey Windhoek,"$514,301.00",,Los Angeles,88,,Los Angeles,"$522,262.62",,Mouse,"$450,614.55",,Mouse,92,9.61%,6,20,"$114,923.89",,,,Chris Miller,11,"$50,665.94",1,$67.81
,,Jeff Francis,"$285,947.02",,New York,68,,New York,"$396,609.04",,Printer,"$514,510.18",,Printer,99,10.97%,7,19,"$90,818.04",,,,Chris Moore,14,"$41,095.01",1,"$11,118.80"
,,Michealla Simpson,"$364,775.00",,Philadelphia,74,,Philadelphia,"$341,946.22",,Router,"$455,191.94",,Router,92,9.71%,8,12,"$56,480.52",,,,Chris Smith,12,"$43,035.37",1,$889.42
